sym,close,chg1d,chg5d,chg20d,sma20,sma50,sma200,rsi,macd,atr,vol_ratio,range_pos,score,vol,avg_vol,low20,high20,signal
KLAC,266.19000244140625,-11.772891193416271,10.691120746274594,30.15352869188714,242.62259979248046,207.57787841796875,,60.98544768950314,20.352185403058485,22.128930228097097,1.5342271751560028,0.6406538335914923,14,24136600,15732090.0,192.7729949951172,307.3699951171875,18.086646634054738
LRCX,391.260009765625,-9.708531167995847,4.391681565835163,17.082513221408167,368.86376800537107,319.05149017333986,,61.067013549463034,25.939578369121705,30.52077795477485,1.3216150996408624,0.6525784908447466,14,18664800,14122720.0,302.5268694093298,438.5,24.759322233518766
AMAT,650.9099731445312,-9.970958071295815,10.516665623454614,32.82521974462755,580.3110000610352,485.7858270263672,,64.68230801614794,57.72676634529182,50.43642316545759,1.2526554945554798,0.6904728128437764,14,16041500,12805995.0,452.9100036621094,739.6699829101562,50.56037572447802
AMAT,650.9099731445312,-9.970958071295815,10.516665623454614,32.82521974462755,580.3110000610352,485.7858270263672,,64.68230801614794,57.72676634529182,50.43642316545759,1.2526554945554798,0.6904728128437764,14,16041500,12805995.0,452.9100036621094,739.6699829101562,50.56037572447802
PAYX,102.70999908447266,4.454385408172212,6.6562781200221774,1.9049490539785525,99.16749954223633,95.5182649230957,,53.49241098262681,1.0299748330082537,3.449285234723772,1.1501401975001366,0.8849313598641062,14,4417700,3841010.0,93.0199966430664,103.97000122070312,1.0439043336035803
ADP,235.72999572753906,5.260102228096654,7.2182275416769475,2.74178931297385,224.20455627441407,216.76723510742187,,56.29585906256665,2.1285363034169222,6.142033354911234,0.9830845247415966,0.9522359460781001,14,2988400,3039820.0,213.8000030517578,236.8300018310547,1.704765899434142
ORLY,92.69000244140625,0.6515431940230746,5.545436988733047,7.491590899901339,89.2379997253418,90.80699951171874,,56.79464928720237,0.04671729258818402,2.3328568594796315,0.9956254365974601,0.973005990243738,14,8694100,8732300.0,84.76000213623047,92.91000366210938,-0.5124861076029443
MELI,1742.18994140625,2.6393419527150592,4.978397885665062,4.146266337503046,1637.9654968261718,1686.0024072265626,,66.62561082650419,5.474042624621234,66.15999930245536,1.0044656388288307,0.8891050077808333,13,497100,494890.0,1546.0,1766.6600341796875,-9.563904659769754
AMD,540.8800048828125,-6.890907388804502,4.067421219387887,3.708253953727546,518.0705001831054,455.7141998291016,,63.23600132391376,26.208161014383677,36.706429617745535,0.8770238404354408,0.7027119684173001,13,28186200,32138465.0,437.2300109863281,584.72998046875,27.387400809386797
LIN,533.5499877929688,2.815351540222055,3.4552979270319013,7.930306989642105,515.2400039672851,507.86414611816406,,65.52117372017139,4.379624066095857,11.247146606445312,1.1653766920885127,0.878306410874265,13,3085900,2647985.0,494.57606898736714,538.9500122070312,3.508535427063361
FAST,47.75,-0.5829664509955542,3.2209289505599217,6.751621928616464,46.50399951934814,45.175849609375,,62.83583585179382,0.6429366260312719,1.0592858450753349,0.8689012355916743,0.8005118133666607,13,6548800,7536875.0,44.619998931884766,48.529998779296875,0.48374545256398443
BIIB,209.74000549316406,-2.9251097550881697,5.085429801847507,11.073454143593906,201.00650177001953,195.16380096435546,,66.35711102007797,5.146981277911891,6.6542848859514505,0.9717297147368197,0.6904468353873219,13,1138600,1171725.0,187.47999572753906,219.72000122070312,3.6878715448128245
KDP,33.369998931884766,1.955390768712209,7.030865258674641,10.697270773379264,31.42800760269165,29.83145938873291,,63.866732720935055,0.951068407884069,0.8885629584206198,1.0322738734730692,0.8928818195185705,13,17819700,17262570.0,29.619025024446326,33.81999969482422,0.7966474649483782
SNOW,261.19000244140625,2.628684652811886,15.596373520304319,0.01914214220905463,239.45599899291992,196.22140014648437,,64.42216532078176,13.68549884230174,13.005286080496651,0.6799865782467535,0.9469235008064082,12,5096700,7495295.0,217.47999572753906,263.6400146484375,14.10945813340039
CDNS,377.7300109863281,0.6421196885535342,1.4312613257790034,-9.284565503990393,385.29750061035156,366.5928002929688,,44.202447049687436,1.9260415695161441,13.90142822265625,0.6355218776219641,0.3323989649579775,12,1692900,2663795.0,358.760009765625,415.8299865722656,5.227462977072185
EA,205.4499969482422,0.19996277581672367,0.45471966377544004,1.7028872506057324,203.60349960327147,202.2855874633789,,71.59299914480852,0.82921548136855,0.9214303152901786,0.8092021950189954,0.86904679728684,12,1725300,2132100.0,201.8000030517578,206.0,0.6146948268777512
BKNG,182.63999938964844,2.468578187209002,0.7668962149784483,9.50250100724595,171.3133415222168,168.34539581298827,,70.02185224129896,3.9779908243302486,6.976427350725446,0.807339366093975,0.8639887263483433,12,7100800,8795310.0,158.1199951171875,186.5,2.6146378273132953
INTC,127.0199966430664,-9.031016113140808,-3.5168989503018957,17.687386531930883,122.74249992370605,112.29939987182617,,60.571426310867224,6.677877011697177,11.155713217599052,0.856335050045619,0.6517490237946268,11,112619200,131513010.0,98.33000183105469,142.35000610351562,6.778478460682246
GEHC,64.86000061035156,1.3279150847582677,-0.0308209678066113,4.629777148210184,63.961500549316405,63.87340049743652,,53.77748003113589,0.14737827635725864,1.9025001525878906,0.7612516968916426,0.7557957445202798,11,3717900,4883930.0,59.970001220703125,66.44000244140625,-0.09057266287372999
MU,1032.280029296875,-10.570134510102852,-1.5479089677339286,-2.990315479665444,1048.4720031738282,841.5618017578125,,56.77867876713725,79.42704420809923,105.99717058454242,0.87419681629933,0.4441034390829112,11,50779300,58086805.0,854.3499755859375,1255.0,90.67760461143756
NOW,105.80000305175781,6.567288832220021,12.793176556058885,-17.11711571714425,102.69100074768066,100.02420043945312,,49.70495411801905,-1.4169334825686946,5.283572605678013,0.9933491863322028,0.4241406726960374,11,26281700,26457665.0,89.38999938964844,128.0800018310547,-1.3694655134857232
PANW,352.0400085449219,3.2314878559239513,23.410221024028072,18.460198270814296,290.0114990234375,247.97739959716796,,89.58814619267687,22.73819289487858,13.421434674944196,0.9023851573637119,0.9433380377099635,11,7260600,8046010.0,251.14999389648438,358.1000061035156,18.118944426939027
NET,246.30999755859375,0.41992774968319724,10.215680270053532,-9.664052574491105,236.36199951171875,224.75699981689453,,70.74119632011895,3.5890062178090716,11.268857683454241,0.7080874309324898,0.5270174867462992,11,2540600,3587975.0,212.32000732421875,276.81500244140625,2.605314856743885
TXN,298.4100036621094,0.11406593402093015,-1.5505862282965852,-3.1513668729564652,301.0759979248047,294.35728424072266,,55.45140022353587,1.5350529729977893,15.847143990652901,0.832383450305551,0.4078138199234397,11,8733800,10492520.0,273.8800048828125,334.0299987792969,4.144697965671321
CSCO,117.01000213623047,-0.38310654839914243,-2.271779123395146,-8.585935831069946,120.41550025939941,110.55960006713867,,46.28784438688731,1.275835324062598,3.503571101597377,1.1925728770831838,0.23700758582526896,11,32003200,26835425.0,112.86000061035156,130.3699951171875,2.601469500673651
TSLA,425.29998779296875,1.1174468904540131,13.25326583108005,0.368149713160398,400.66949768066405,406.2793994140625,,66.4187537699917,-0.6460132672612531,17.321424211774552,0.8328777388677355,0.8723074106069711,11,39967100,47986755.0,368.6000061035156,433.6000061035156,-3.2528010404260734
META,612.9099731445312,8.808961112881509,9.90549822066978,2.6518162069564406,578.4839691162109,606.5127209472656,,61.51195060559774,-9.494680504310736,21.845493188753007,2.300718528669428,0.7156688704785428,11,45473000,19764695.0,540.1799926757812,641.8051764288737,-12.521147422876181
VRTX,498.010009765625,0.2576850101638222,4.800083538014742,17.154017750578294,461.094499206543,445.08660095214844,,87.4939987841454,15.008208127436433,12.742854527064733,0.7709985399979181,0.9298998028072678,10,1444300,1873285.0,420.010009765625,503.8900146484375,10.411707056918473
MRVL,272.04998779296875,-8.674351466921278,-1.6805291683844523,-6.444520169632351,284.8635009765625,221.74740020751952,,54.22455570829951,16.997501385990176,27.452145167759486,0.4957163217282637,0.3266183767833309,10,33719400,68021565.0,244.0,329.8800048828125,22.420168594456452
DDOG,264.4800109863281,1.5824342704591796,18.787342571988386,-1.7277872448704208,234.56850051879883,205.31400024414063,,74.90202119691286,10.759951826276563,11.475785391671318,0.6786070140875428,0.8841620168605278,10,3589200,5289070.0,212.72999572753906,271.260009765625,9.406877730480733
CTAS,174.22999572753906,2.440024607129698,1.930616739694849,0.5308396410508711,174.1055000305176,172.1999365234375,,41.3512777044141,-0.6213657940347446,4.659997122628348,0.7976854815542018,0.3847534733003062,10,1763200,2210395.0,167.82000732421875,184.47999572753906,-0.30681068375183584
HON,221.75,-0.9602474118326154,-2.493183631429456,-5.7305598658228085,222.85,220.54573852539062,,65.30965645803084,1.1886018383155772,9.185000828334264,0.9887540895306421,0.34918238423853615,10,6204600,6275170.0,205.52000427246094,252.0,1.4071871794471413
PYPL,44.06999969482422,2.0611379883240932,3.7429382526405415,-0.7067690550118187,42.41250038146973,44.89612731933594,,65.70364152768607,-0.17595448428021854,1.443643297467913,1.279464862520291,0.8251599285862435,9,22964200,17948285.0,40.20000076293945,44.88999938964844,-0.5469698017843813
AAPL,294.3800048828125,1.7348699838890467,0.4435711649066578,-6.605332017101462,294.8839996337891,292.60249877929687,,52.05340081991905,-2.278447233019108,8.346433367047991,0.7380467561924892,0.47262331655157613,9,50109500,67894750.0,273.75,317.3999938964844,-1.0355179825884897
ZS,146.4499969482422,3.754873029356766,15.07032357277955,1.5955623649970243,130.07499885559082,141.51159896850587,,75.66162757471879,-1.4503703509112427,6.918070111955915,0.8442191902646636,0.8959439929428105,8,3721200,4407860.0,119.5,149.5800018310547,-4.057515291430574
AMZN,241.6999969482422,1.409751053947381,3.171551005369007,-5.777324458188644,240.6134994506836,255.56160034179686,,52.72138534847061,-5.086485404495932,8.866426740373884,0.8396016105666863,0.5120481082532456,8,53390300,63590040.0,225.5500030517578,257.0899963378906,-5.568310322392491
DXCM,68.86000061035156,2.242022524782506,-1.2759847880264337,-6.249144354798333,72.11100044250489,67.51460006713867,,32.86958429327291,-0.12540303527728724,2.4149992806570872,0.9048497690024397,0.13436670771600517,8,4793600,5297675.0,67.30000305175781,78.91000366210938,0.7245613984702042
GOOGL,361.2099914550781,1.0745155973800842,4.6106120988685015,-0.11724871757632874,358.4651763916016,370.26975341796873,,52.84016823980238,-5.031152332380998,12.379285539899554,0.670692539209911,0.6770739631683385,7,26687500,39790960.0,330.20001220703125,376.0,-4.929631329179447
MSFT,384.2799987792969,3.0186076074363672,5.1496765074849735,-12.922888467244587,388.7979965209961,407.8714794921875,,44.44822387981982,-11.476733014752199,13.5142822265625,0.9838023141074905,0.3846911463217267,7,47966000,48755730.0,349.20001220703125,440.3900146484375,-10.935142862718834
CRM,163.22999572753906,4.193790317789161,6.853889498035167,-18.51658462294546,164.95520553588867,174.47546356201173,,41.63782689378046,-6.038340210373235,6.172855922154018,0.8209555618329794,0.3298863413353281,6,14153200,17239910.0,146.32000732421875,197.58005141962244,-6.3156125158223935
NFLX,74.19000244140625,3.907564223953285,3.271166791911652,-10.968437764082976,77.46349906921387,84.41779937744141,,32.804930653447315,-3.7821200340138574,2.6842853001185825,0.8997088659764966,0.2593460109663665,6,43725500,48599610.0,70.86000061035156,83.69999694824219,-3.7239974729827736
REGN,624.719970703125,0.18924090152396042,0.2069162604460404,3.6157348256638002,618.5285003662109,658.9595983886719,,68.46482880446464,-7.6825948456400965,13.720698765345983,1.0663095905010453,0.6493893159195219,6,1170600,1097805.0,594.9000244140625,640.8200073242188,-12.745594337524757
INTU,267.0799865722656,2.329496770982998,1.8456362561502977,-17.091955538730815,277.0749984741211,335.49,,38.3591211659201,-20.77849456357751,11.842140197753906,0.8033314860370312,0.20858345577766643,6,4805300,5981715.0,252.83999633789062,321.1099853515625,-23.52774165059303
GILD,125.97000122070312,-0.29285667873375965,0.6471696507619763,-0.6052427806674111,125.67151184082032,128.99202392578124,,63.077464062586756,-1.0795015102150955,3.3412167293308124,0.7076763568209914,0.5265711922333248,6,6654900,9403875.0,120.5974199292022,130.8003732444309,-1.4844292185216452
HUBS,187.72000122070312,2.854641866570242,3.8676510033795943,-21.835443721589115,189.3694984436035,205.41940032958985,,46.089779483084115,-7.60816413352174,10.129856654575892,0.6559733337807531,0.27488219129296043,6,1172900,1788030.0,169.6300048828125,235.44000244140625,-8.65480868591522
CRWD,,,,,,,,,7.999186313261163,,0.0,0.5,5,0,13057206.4,,,7.3510763262637715
MDLZ,59.349998474121094,2.6106471603555876,-3.0653071434779617,-2.0018319409011984,60.822787284851074,60.387466506958006,,33.51129318959518,-0.37472731509715373,1.539955803843528,1.188264697379061,0.2601451850839387,5,12145200,10220955.0,57.779998779296875,63.815089124396444,-0.06395064379339765
NVDA,197.5800018310547,-1.254432781635583,-0.7135669190679962,-11.224181275235278,204.46849975585937,209.74286987304689,,47.37523473430248,-3.8471072889074094,6.227144513811384,0.9214800152952184,0.2374802810380274,5,145771900,158193230.0,189.8000030517578,222.56061267075634,-2.7774250495404558
ADBE,210.97999572753906,2.9070292317219963,7.330715707586437,-19.507074312885823,215.88800125122071,235.4706005859375,,34.44875220899762,-10.79748782722433,9.302144731794085,0.6667428827540627,0.27512527822835453,5,5861200,8790795.0,190.1199951171875,265.94000244140625,-11.678826438367276
QCOM,181.9199981689453,-1.5531117600851565,-7.846616283781162,-24.185386027681727,209.1895004272461,201.2154721069336,,45.7725945090036,-5.17567519684161,15.344999040876116,1.0224475972057698,0.00441056290233129,5,23283100,22771925.0,181.60000610351562,254.1513045467482,-0.0999141425632033
TEAM,83.16999816894531,6.916052436173824,1.9865052808880073,-23.767186679958083,87.41849975585937,86.18029998779296,,38.84892364206309,-2.800362817710649,4.9767864772251675,0.7884118084650734,0.2750390871746398,5,3672300,4657845.0,74.41000366210938,106.26000213623047,-1.62758856797599
NXPI,279.17999267578125,-0.6582948836606238,-5.060193500085826,-13.439522809700119,298.94069213867186,292.9326290893555,,47.96351857930898,-3.2661267931555926,15.298006214034157,1.0673526460730525,0.17733757670085648,5,4999800,4684300.0,268.8500061035156,327.1004162221272,1.2416923850290436
IDXX,537.5800170898438,2.11610337299119,-2.1086671682169045,-2.403687240536598,554.8594970703125,556.1225964355468,,42.7229053868037,-5.772651166181163,17.09786115373884,0.9801226631197812,0.3024481002171929,5,663200,676650.0,518.5499877929688,581.469970703125,-3.0345697868863635
ISRG,402.3800048828125,1.1818578489220237,0.13687836371762638,0.019889906107809358,409.51649780273436,430.2393988037109,,41.242748333703894,-7.823744822461151,10.938568115234375,0.7750704273224022,0.14581498281384195,5,1938300,2500805.0,397.5199890136719,430.8500061035156,-8.252893616703515
CPRT,28.790000915527344,2.128415644209864,-5.296048431597866,-6.707711127296173,30.16849994659424,31.986800079345702,,35.86358827456924,-0.9048214016455738,0.9585715702601841,1.1159448994672871,0.24040935313073486,5,15184400,13606765.0,27.850000381469727,31.760000228881836,-0.7866939775228798
ORCL,142.5,-2.763563949109883,-9.541039100974187,-41.736855452952014,182.59100036621095,187.1906002807617,,12.021705517486367,-13.741720070194361,9.496429443359375,1.4675889233133992,0.0,4,45829500,31227750.0,142.5,240.50999450683594,-8.169031825227922
SNPS,454.5299987792969,1.8965613729167667,-2.0261664571994134,-10.587195176163595,461.70300140380857,483.72780151367186,,45.91876997758531,-8.609257357189222,16.91428702218192,0.716294872866015,0.2439396385627937,4,1543200,2154420.0,438.5299987792969,504.1199951171875,-7.875302022273389
AVGO,369.3399963378906,-2.2263411415246526,-3.3318529961252974,-23.183643241502413,389.87626495361326,409.71048645019533,,49.281938854883514,-10.612918867984035,15.594105499553612,0.6475374099188046,0.06638867525104881,4,23652000,36526075.0,360.4599914550781,494.21781760890264,-8.475599617185322
COST,924.6699829101562,-1.1544986083146187,-3.7894518648240476,-3.101851259629185,962.2844970703125,993.168798828125,,26.809413187664305,-16.29678571565887,18.36501203264509,1.121703001006894,0.05360390193079505,3,2907600,2592130.0,920.5499877929688,997.4099731445312,-13.877843529106386
